alg       queue  map  start_id  goal_id  constraint  min_cost1  min_cost2  budget  sol_cost1  sol_cost2  runtime(s)  search_malloc(KB)
WC_A  bucket  COL    96796    104573        15   3538370   4556397    4709835    3686114    4702378     0.060128       2056
WC_A  bucket  COL    96796    104573        30   3538370   4556397    4863273    3682624    4861372     0.060984       2056
WC_A  bucket  COL    96796    104573        45   3538370   4556397    5016712    3570149    5015246     0.057625       2056
WC_A  bucket  COL    96796    104573        60   3538370   4556397    5170150    3547552    5169451     0.060679       2056
WC_A  bucket  COL    96796    104573        75   3538370   4556397    5323589    3541019    5321908     0.058272       2056
WC_A  bucket  COL    96796    104573        90   3538370   4556397    5477027    3539619    5475905     0.058249       2056
WC_A  bucket  COL   320621    109746        15   4431145   6498285    6655395    4693602    6649040     0.078096       2951
WC_A  bucket  COL   320621    109746        30   4431145   6498285    6812505    4692690    6721029     0.079900       2951
WC_A  bucket  COL   320621    109746        45   4431145   6498285    6969616    4652712    6965718     0.077319       2951
WC_A  bucket  COL   320621    109746        60   4431145   6498285    7126726    4650277    7114384     0.076862       2951
WC_A  bucket  COL   320621    109746        75   4431145   6498285    7283837    4434859    7276368     0.076374       2951
WC_A  bucket  COL   320621    109746        90   4431145   6498285    7440947    4434522    7292240     0.076354       2951
WC_A  bucket  COL    76822    393797        15   2648659   4899112    4949807    2837381    4941549     0.011823       8744
WC_A  bucket  COL    76822    393797        30   2648659   4899112    5000502    2687639    4992356     0.011771       8744
WC_A  bucket  COL    76822    393797        45   2648659   4899112    5051197    2668414    5050014     0.013073       8744
WC_A  bucket  COL    76822    393797        60   2648659   4899112    5101892    2665543    5078399     0.012968       8744
WC_A  bucket  COL    76822    393797        75   2648659   4899112    5152588    2653975    5148860     0.012702       8744
WC_A  bucket  COL    76822    393797        90   2648659   4899112    5203283    2649498    5195598     0.013217       8744
WC_A  bucket  COL   130080     12221        15   1704545   1865529    1984456    1779815    1982967     0.027655       1378
WC_A  bucket  COL   130080     12221        30   1704545   1865529    2103383    1711407    2071748     0.029228       1378
WC_A  bucket  COL   130080     12221        45   1704545   1865529    2222310    1708007    2209635     0.027395       1378
