alg       queue  map  start_id  goal_id  constraint  min_cost1  min_cost2  budget  sol_cost1  sol_cost2  runtime(s)  search_malloc(KB)
WC_A  bucket  NE   989927    383553        15   1810801   2633748    2753974    1843968    2753337     0.099329       1748
WC_A  bucket  NE   989927    383553        30   1810801   2633748    2874200    1825094    2872548     0.113085       1748
WC_A  bucket  NE   989927    383553        45   1810801   2633748    2994427    1819410    2992360     0.091344       1748
WC_A  bucket  NE   989927    383553        60   1810801   2633748    3114653    1813789    3113460     0.089306       1748
WC_A  bucket  NE   989927    383553        75   1810801   2633748    3234879    1810970    3234302     0.087878       1748
WC_A  bucket  NE   989927    383553        90   1810801   2633748    3355106    1810873    3263157     0.095418       1748
WC_A  bucket  NE  1092724    999686        15   3018418   3405906    3549922    3180881    3549896     0.078548       2226
WC_A  bucket  NE  1092724    999686        30   3018418   3405906    3693939    3165585    3692114     0.116795       2226
WC_A  bucket  NE  1092724    999686        45   3018418   3405906    3837956    3152197    3837784     0.125397       2226
WC_A  bucket  NE  1092724    999686        60   3018418   3405906    3981973    3040447    3978669     0.094363       2226
WC_A  bucket  NE  1092724    999686        75   3018418   3405906    4125990    3023103    4124425     0.091334       2226
WC_A  bucket  NE  1092724    999686        90   3018418   3405906    4270007    3018794    4250064     0.086974       2226
WC_A  bucket  NE   297980    818385        15   2256225   2429352    2611805    2269338    2611448     0.075663       1072
WC_A  bucket  NE   297980    818385        30   2256225   2429352    2794258    2262915    2792815     0.092232       1072
WC_A  bucket  NE   297980    818385        45   2256225   2429352    2976711    2260585    2950232     0.055561       1072
WC_A  bucket  NE   297980    818385        60   2256225   2429352    3159165    2257080    3121485     0.052826       1072
WC_A  bucket  NE   297980    818385        75   2256225   2429352    3341618    2256470    3197197     0.052023       1072
WC_A  bucket  NE   297980    818385        90   2256225   2429352    3524071    2256470    3197197     0.052579       1072
WC_A  bucket  NE  1500947   1175757        15   4611062   5802311    6164018    5038460    6163936     0.676503      11026
WC_A  bucket  NE  1500947   1175757        30   4611062   5802311    6525725    4802582    6525378     0.566872      13330
WC_A  bucket  NE  1500947   1175757        45   4611062   5802311    6887433    4717057    6887275     0.505095      10257
WC_A  bucket  NE  1500947   1175757        60   4611062   5802311    7249140    4652772    7248096     0.468982      11794
WC_A  bucket  NE  1500947   1175757        75   4611062   5802311    7610848    4621772    7609856     0.344053       8721
WC_A  bucket  NE  1500947   1175757        90   4611062   5802311    7972555    4614062    7971611     0.330685       7185
WC_A  bucket  NE  1130034    743735        15   3944310   4288751    4459597    3989930    4459530     0.624081       7532
WC_A  bucket  NE  1130034    743735        30   3944310   4288751    4630443    3961514    4630124     0.432641      13676
WC_A  bucket  NE  1130034    743735        45   3944310   4288751    4801289    3953353    4799766     0.248823       7532
WC_A  bucket  NE  1130034    743735        60   3944310   4288751    4972135    3950566    4971814     0.229583       5996
WC_A  bucket  NE  1130034    743735        75   3944310   4288751    5142981    3946993    5142415     0.206300       3692
