alg       queue  map  start_id  goal_id  constraint  min_cost1  min_cost2  budget  sol_cost1  sol_cost2  runtime(s)  search_malloc(KB)
WC_A  bucket  NY   118216    154705        15    790262   1039493    1093610     857583    1093186     0.052872       1648
WC_A  bucket  NY   118216    154705        30    790262   1039493    1147727     810764    1147346     0.046645       1648
WC_A  bucket  NY   118216    154705        45    790262   1039493    1201844     803475    1199823     0.043983       2416
WC_A  bucket  NY   118216    154705        60    790262   1039493    1255961     801480    1253266     0.045391       2416
WC_A  bucket  NY   118216    154705        75    790262   1039493    1310078     797314    1309669     0.039832       2416
WC_A  bucket  NY   118216    154705        90    790262   1039493    1364195     793521    1363988     0.037747       1648
WC_A  bucket  NY   223529    231949        15    698727    979106    1041382     752294    1041025     0.044806       2135
WC_A  bucket  NY   223529    231949        30    698727    979106    1103659     725617    1102719     0.051007       2135
WC_A  bucket  NY   223529    231949        45    698727    979106    1165936     719134    1152759     0.043907       2135
WC_A  bucket  NY   223529    231949        60    698727    979106    1228213     717535    1181581     0.045012       2135
WC_A  bucket  NY   223529    231949        75    698727    979106    1290490     710112    1290136     0.043015       2135
WC_A  bucket  NY   223529    231949        90    698727    979106    1352767     700692    1350221     0.039739       2135
WC_A  bucket  NY    27084    122679        15    307887    449094     484777     343617     482718     0.005133       1273
WC_A  bucket  NY    27084    122679        30    307887    449094     520460     333531     519163     0.008161       1273
WC_A  bucket  NY    27084    122679        45    307887    449094     556143     321086     554681     0.007883       1273
WC_A  bucket  NY    27084    122679        60    307887    449094     591826     314199     586642     0.006813       1273
WC_A  bucket  NY    27084    122679        75    307887    449094     627510     308889     623379     0.006451       1273
WC_A  bucket  NY    27084    122679        90    307887    449094     663193     307934     638122     0.005953       1273
WC_A  bucket  NY   137839    144564        15    213655    327949     345122     238684     343565     0.004701       1265
WC_A  bucket  NY   137839    144564        30    213655    327949     362296     220671     361300     0.005212       1265
WC_A  bucket  NY   137839    144564        45    213655    327949     379469     219728     369747     0.005961       1265
WC_A  bucket  NY   137839    144564        60    213655    327949     396643     219504     395147     0.006478       1265
WC_A  bucket  NY   137839    144564        75    213655    327949     413817     213921     411175     0.006466       1265
WC_A  bucket  NY   137839    144564        90    213655    327949     430990     213704     428270     0.006344       1265
WC_A  bucket  NY   112388     89862        15    682955    807899     886996     698691     878173     0.016509       1090
WC_A  bucket  NY   112388     89862        30    682955    807899     966094     690411     965837     0.021482       1090
WC_A  bucket  NY   112388     89862        45    682955    807899    1045192     683697    1043558     0.013903       1090
WC_A  bucket  NY   112388     89862        60    682955    807899    1124289     683664    1052838     0.013857       1090
WC_A  bucket  NY   112388     89862        75    682955    807899    1203387     683664    1052838     0.013887       1090
WC_A  bucket  NY   112388     89862        90    682955    807899    1282485     683664    1052838     0.013759       1090
WC_A  bucket  NY    23782    223879        15    359432    507889     555445     402597     555009     0.010051       1383
WC_A  bucket  NY    23782    223879        30    359432    507889     603001     366987     598728     0.011250       1383
