alg       queue  map  start_id  goal_id  constraint  min_cost1  min_cost2  budget  sol_cost1  sol_cost2  runtime(s)  search_malloc(KB)
WC_BA  bucket  FLA   139599    783991        15   1670409   2122556    2159737    1741443    2158444     0.032945       2390
WC_BA  bucket  FLA   139599    783991        30   1670409   2122556    2196918    1690677    2194825     0.030180       2277
WC_BA  bucket  FLA   139599    783991        45   1670409   2122556    2234100    1689737    2228642     0.032658       2567
WC_BA  bucket  FLA   139599    783991        60   1670409   2122556    2271281    1687237    2263714     0.038841       2858
WC_BA  bucket  FLA   139599    783991        75   1670409   2122556    2308463    1670682    2305284     0.036463       2990
WC_BA  bucket  FLA   139599    783991        90   1670409   2122556    2345644    1670682    2305284     0.036144       3281
WC_BA  bucket  FLA   741638    279445        15   6541060   7481895    7674376    6667324    7674065     0.169921       4882
WC_BA  bucket  FLA   741638    279445        30   6541060   7481895    7866857    6655488    7866782     0.190071       7154
WC_BA  bucket  FLA   741638    279445        45   6541060   7481895    8059339    6645240    8058729     0.217576       8657
WC_BA  bucket  FLA   741638    279445        60   6541060   7481895    8251820    6579736    8250796     0.254645       9742
WC_BA  bucket  FLA   741638    279445        75   6541060   7481895    8444301    6547145    8443344     0.242067      11246
WC_BA  bucket  FLA   741638    279445        90   6541060   7481895    8636783    6542518    8636699     0.240453      10598
WC_BA  bucket  FLA   250409    131756        15   8165303   9157557    9621730    8344504    9617692     0.353982      10074
WC_BA  bucket  FLA   250409    131756        30   8165303   9157557   10085904    8240343   10085643     0.235900      12164
WC_BA  bucket  FLA   250409    131756        45   8165303   9157557   10550077    8238667   10537020     0.269225      16558
WC_BA  bucket  FLA   250409    131756        60   8165303   9157557   11014251    8238192   10702188     0.288038      16611
WC_BA  bucket  FLA   250409    131756        75   8165303   9157557   11478424    8179304   11469327     0.288269      21773
WC_BA  bucket  FLA   250409    131756        90   8165303   9157557   11942598    8166372   11907360     0.270405      23302
WC_BA  bucket  FLA   956240     55495        15   1182920   1349647    1349647    1182920    1349647     0.006403          0
WC_BA  bucket  FLA   956240     55495        30   1182920   1349647    1349647    1182920    1349647     0.006449          0
WC_BA  bucket  FLA   956240     55495        45   1182920   1349647    1349647    1182920    1349647     0.006129          0
WC_BA  bucket  FLA   956240     55495        60   1182920   1349647    1349647    1182920    1349647     0.006410          0
WC_BA  bucket  FLA   956240     55495        75   1182920   1349647    1349647    1182920    1349647     0.006618          0
WC_BA  bucket  FLA   956240     55495        90   1182920   1349647    1349647    1182920    1349647     0.006396          0
WC_BA  bucket  FLA   914160    840940        15   6606826   7422899    7852342    6977367    7834499     0.226469       9385
WC_BA  bucket  FLA   914160    840940        30   6606826   7422899    8281785    6721485    8281074     0.222589      11025
WC_BA  bucket  FLA   914160    840940        45   6606826   7422899    8711229    6707269    8709625     0.219685      12387
WC_BA  bucket  FLA   914160    840940        60   6606826   7422899    9140672    6707029    8807499     0.237879      15739
