alg       queue  map  start_id  goal_id  constraint  min_cost1  min_cost2  budget  sol_cost1  sol_cost2  runtime(s)  search_malloc(KB)
WC_BA  bucket  NW  1089970    593567        15   7366593   8969632    9266978    7737739    9266633     0.308842      11733
WC_BA  bucket  NW  1089970    593567        30   7366593   8969632    9564325    7660473    9563695     0.305097      17896
WC_BA  bucket  NW  1089970    593567        45   7366593   8969632    9861672    7652685    9861213     0.222698      17147
WC_BA  bucket  NW  1089970    593567        60   7366593   8969632   10159019    7492658   10158658     0.273855      16091
WC_BA  bucket  NW  1089970    593567        75   7366593   8969632   10456366    7379651   10456281     0.353548      19573
WC_BA  bucket  NW  1089970    593567        90   7366593   8969632   10753713    7370180   10753120     0.245869      17822
WC_BA  bucket  NW   184610   1152102        15   6199575   8094633    8227042    6238335    8226809     0.136129       4216
WC_BA  bucket  NW   184610   1152102        30   6199575   8094633    8359451    6231782    8335182     0.144448       5251
WC_BA  bucket  NW   184610   1152102        45   6199575   8094633    8491861    6219507    8479784     0.153465       6285
WC_BA  bucket  NW   184610   1152102        60   6199575   8094633    8624270    6206565    8623505     0.153594       6652
WC_BA  bucket  NW   184610   1152102        75   6199575   8094633    8756679    6202834    8756095     0.164745       7686
WC_BA  bucket  NW   184610   1152102        90   6199575   8094633    8889089    6200065    8883294     0.161141       7778
WC_BA  bucket  NW   507559    359526        15   4832006   7824129    8236696    6415983    8235816     0.178923      18973
WC_BA  bucket  NW   507559    359526        30   4832006   7824129    8649263    5400229    8601650     0.134669      12667
WC_BA  bucket  NW   507559    359526        45   4832006   7824129    9061831    5068937    9050019     0.155613      15413
WC_BA  bucket  NW   507559    359526        60   4832006   7824129    9474398    4893317    9472897     0.173063      16732
WC_BA  bucket  NW   507559    359526        75   4832006   7824129    9886965    4839434    9817771     0.189592      17777
WC_BA  bucket  NW   507559    359526        90   4832006   7824129   10299533    4834489   10028412     0.204494      20894
WC_BA  bucket  NW   904244    516243        15   3644237   4374213    4422857    3678854    4406413     0.014709       2186
WC_BA  bucket  NW   904244    516243        30   3644237   4374213    4471501    3678854    4406413     0.017095       2566
WC_BA  bucket  NW   904244    516243        45   3644237   4374213    4520145    3678854    4406413     0.018823       2946
WC_BA  bucket  NW   904244    516243        60   3644237   4374213    4568789    3652883    4558677     0.019904       3123
WC_BA  bucket  NW   904244    516243        75   3644237   4374213    4617433    3652883    4558677     0.018268       3503
WC_BA  bucket  NW   904244    516243        90   3644237   4374213    4666077    3652883    4558677     0.022107       3883
WC_BA  bucket  NW    67936    938956        15   5377929   6538542    7009873    6020254    7006668     0.147433      10151
WC_BA  bucket  NW    67936    938956        30   5377929   6538542    7481205    5661554    7477158     0.189390      12844
WC_BA  bucket  NW    67936    938956        45   5377929   6538542    7952536    5626779    7951774     0.180718      15530
WC_BA  bucket  NW    67936    938956        60   5377929   6538542    8423868    5607419    8421182     0.132745      18393
WC_BA  bucket  NW    67936    938956        75   5377929   6538542    8895200    5398140    8892985     0.154680      21252
WC_BA  bucket  NW    67936    938956        90   5377929   6538542    9366531    5381038    9366254     0.139367      23732
WC_BA  bucket  NW  1137391    451342        15   4014156   5294397    5791089    4312397    5790512     0.183972       8128
WC_BA  bucket  NW  1137391    451342        30   4014156   5294397    6287782    4223874    6283938     0.214152      11819
WC_BA  bucket  NW  1137391    451342        45   4014156   5294397    6784475    4195638    6783207     0.255160      14758
WC_BA  bucket  NW  1137391    451342        60   4014156   5294397    7281168    4066929    7279979     0.216678      18449
WC_BA  bucket  NW  1137391    451342        75   4014156   5294397    7777861    4026535    7775713     0.211532      21831
WC_BA  bucket  NW  1137391    451342        90   4014156   5294397    8274554    4017148    8086623     0.212842      24842
WC_BA  bucket  NW   513282    593240        15   5953110   8014971    8543167    6359030    8542788     0.381708      14094
WC_BA  bucket  NW   513282    593240        30   5953110   8014971    9071363    6059130    9070925     0.410415      17296
WC_BA  bucket  NW   513282    593240        45   5953110   8014971    9599559    6023379    9599294     0.348967      21422
WC_BA  bucket  NW   513282    593240        60   5953110   8014971   10127755    6011027   10126720     0.309755      24359
WC_BA  bucket  NW   513282    593240        75   5953110   8014971   10655952    5971096   10655803     0.290698      25705
WC_BA  bucket  NW   513282    593240        90   5953110   8014971   11184148    5953397   11181699     0.223605      26598
WC_BA  bucket  NW   721517    319140        15   6566994   8594628    8982711    6936824    8982044     0.197258       7822
WC_BA  bucket  NW   721517    319140        30   6566994   8594628    9370794    6932746    9182357     0.237615      10457
WC_BA  bucket  NW   721517    319140        45   6566994   8594628    9758877    6932746    9182357     0.253868      13489
WC_BA  bucket  NW   721517    319140        60   6566994   8594628   10146960    6924894   10145546     0.306889      16461
WC_BA  bucket  NW   721517    319140        75   6566994   8594628   10535043    6704043   10534482     0.267959      18416
WC_BA  bucket  NW   721517    319140        90   6566994   8594628   10923126    6571884   10921822     0.266917      19860
WC_BA  bucket  NW    44226    934742        15   7492985   8299242    8879146    7747124    8878692     0.376009      11600
WC_BA  bucket  NW    44226    934742        30   7492985   8299242    9459050    7602388    9458815     0.646402      20738
WC_BA  bucket  NW    44226    934742        45   7492985   8299242   10038954    7579833   10038362     0.431728      26558
