alg       queue  map  start_id  goal_id  constraint  min_cost1  min_cost2  budget  sol_cost1  sol_cost2  runtime(s)  search_malloc(KB)
WC_BA  bucket  NY   118216    154705        15    790262   1039493    1093610     857583    1093186     0.051762       2609
WC_BA  bucket  NY   118216    154705        30    790262   1039493    1147727     810764    1147346     0.040751       2572
WC_BA  bucket  NY   118216    154705        45    790262   1039493    1201844     803475    1199823     0.053414       2995
WC_BA  bucket  NY   118216    154705        60    790262   1039493    1255961     801480    1253266     0.058841       4186
WC_BA  bucket  NY   118216    154705        75    790262   1039493    1310078     797314    1309669     0.055919       4609
WC_BA  bucket  NY   118216    154705        90    790262   1039493    1364195     793521    1363988     0.048880       4108
WC_BA  bucket  NY   223529    231949        15    698727    979106    1041382     752294    1041025     0.036014       2592
WC_BA  bucket  NY   223529    231949        30    698727    979106    1103659     725617    1102719     0.043434       2895
WC_BA  bucket  NY   223529    231949        45    698727    979106    1165936     719134    1152759     0.049033       3177
WC_BA  bucket  NY   223529    231949        60    698727    979106    1228213     717535    1181581     0.051247       3663
WC_BA  bucket  NY   223529    231949        75    698727    979106    1290490     710112    1290136     0.059006       4127
WC_BA  bucket  NY   223529    231949        90    698727    979106    1352767     700692    1350221     0.059275       4499
WC_BA  bucket  NY    27084    122679        15    307887    449094     484777     343617     482718     0.006986       2192
WC_BA  bucket  NY    27084    122679        30    307887    449094     520460     333531     519163     0.010775       2468
WC_BA  bucket  NY    27084    122679        45    307887    449094     556143     321086     554681     0.010130       2739
WC_BA  bucket  NY    27084    122679        60    307887    449094     591826     314199     586642     0.012621       2964
WC_BA  bucket  NY    27084    122679        75    307887    449094     627510     308889     623379     0.010012       3028
WC_BA  bucket  NY    27084    122679        90    307887    449094     663193     307934     638122     0.011957       3209
WC_BA  bucket  NY   137839    144564        15    213655    327949     345122     238684     343565     0.005267       1866
WC_BA  bucket  NY   137839    144564        30    213655    327949     362296     220671     361300     0.006565       1877
WC_BA  bucket  NY   137839    144564        45    213655    327949     379469     219728     369747     0.005163       2011
WC_BA  bucket  NY   137839    144564        60    213655    327949     396643     219504     395147     0.009225       2118
WC_BA  bucket  NY   137839    144564        75    213655    327949     413817     213921     411175     0.007540       2252
WC_BA  bucket  NY   137839    144564        90    213655    327949     430990     213704     428270     0.007849       2342
WC_BA  bucket  NY   112388     89862        15    682955    807899     886996     698691     878173     0.021022       2358
WC_BA  bucket  NY   112388     89862        30    682955    807899     966094     690411     965837     0.022598       2920
WC_BA  bucket  NY   112388     89862        45    682955    807899    1045192     683697    1043558     0.026188       3395
