alg       queue  map  start_id  goal_id  constraint  min_cost1  min_cost2  budget  sol_cost1  sol_cost2  runtime(s)  search_malloc(KB)
WC_EBBA  bucket  NW  1089970    593567        15   7366593   8969632    9266978    7737739    9266633     0.480395      26552
WC_EBBA  bucket  NW  1089970    593567        30   7366593   8969632    9564325    7660473    9563695     0.796929      33567
WC_EBBA  bucket  NW  1089970    593567        45   7366593   8969632    9861672    7652685    9861213     1.405982      87470
WC_EBBA  bucket  NW  1089970    593567        60   7366593   8969632   10159019    7492658   10158658     2.674469     301176
WC_EBBA  bucket  NW  1089970    593567        75   7366593   8969632   10456366    7379651   10456281     0.259238       4165
WC_EBBA  bucket  NW  1089970    593567        90   7366593   8969632   10753713    7370180   10753120     0.237903       3297
WC_EBBA  bucket  NW   184610   1152102        15   6199575   8094633    8227042    6238335    8226809     0.131361       3045
WC_EBBA  bucket  NW   184610   1152102        30   6199575   8094633    8359451    6231782    8335182     0.158848       3292
WC_EBBA  bucket  NW   184610   1152102        45   6199575   8094633    8491861    6219507    8479784     0.153293       2153
WC_EBBA  bucket  NW   184610   1152102        60   6199575   8094633    8624270    6206565    8623505     0.135275       2724
WC_EBBA  bucket  NW   184610   1152102        75   6199575   8094633    8756679    6202834    8756095     0.131975       1188
WC_EBBA  bucket  NW   184610   1152102        90   6199575   8094633    8889089    6200065    8883294     0.125197        819
WC_EBBA  bucket  NW   507559    359526        15   4832006   7824129    8236696    6415983    8235816     0.168024      14878
WC_EBBA  bucket  NW   507559    359526        30   4832006   7824129    8649263    5400229    8601650     0.133259       6330
WC_EBBA  bucket  NW   507559    359526        45   4832006   7824129    9061831    5068937    9050019     0.158778       9184
WC_EBBA  bucket  NW   507559    359526        60   4832006   7824129    9474398    4893317    9472897     0.151937       5374
WC_EBBA  bucket  NW   507559    359526        75   4832006   7824129    9886965    4839434    9817771     0.136612       1019
WC_EBBA  bucket  NW   507559    359526        90   4832006   7824129   10299533    4834489   10028412     0.134927        806
WC_EBBA  bucket  NW   904244    516243        15   3644237   4374213    4422857    3678854    4406413     0.017746          0
WC_EBBA  bucket  NW   904244    516243        30   3644237   4374213    4471501    3678854    4406413     0.019275          0
WC_EBBA  bucket  NW   904244    516243        45   3644237   4374213    4520145    3678854    4406413     0.017999       1309
WC_EBBA  bucket  NW   904244    516243        60   3644237   4374213    4568789    3652883    4558677     0.017180        903
WC_EBBA  bucket  NW   904244    516243        75   3644237   4374213    4617433    3652883    4558677     0.017665        903
WC_EBBA  bucket  NW   904244    516243        90   3644237   4374213    4666077    3652883    4558677     0.017329        903
WC_EBBA  bucket  NW    67936    938956        15   5377929   6538542    7009873    6020254    7006668     0.103628       6944
WC_EBBA  bucket  NW    67936    938956        30   5377929   6538542    7481205    5661554    7477158     0.118291       3898
WC_EBBA  bucket  NW    67936    938956        45   5377929   6538542    7952536    5626779    7951774     0.148884      22536
WC_EBBA  bucket  NW    67936    938956        60   5377929   6538542    8423868    5607419    8421182     0.092840       4572
WC_EBBA  bucket  NW    67936    938956        75   5377929   6538542    8895200    5398140    8892985     0.105838       2011
WC_EBBA  bucket  NW    67936    938956        90   5377929   6538542    9366531    5381038    9366254     0.084865       1632
WC_EBBA  bucket  NW  1137391    451342        15   4014156   5294397    5791089    4312397    5790512     0.177670       4586
WC_EBBA  bucket  NW  1137391    451342        30   4014156   5294397    6287782    4223874    6283938     0.215584       3865
WC_EBBA  bucket  NW  1137391    451342        45   4014156   5294397    6784475    4195638    6783207     0.191825       3931
WC_EBBA  bucket  NW  1137391    451342        60   4014156   5294397    7281168    4066929    7279979     0.163081       3127
WC_EBBA  bucket  NW  1137391    451342        75   4014156   5294397    7777861    4026535    7775713     0.130657       1786
WC_EBBA  bucket  NW  1137391    451342        90   4014156   5294397    8274554    4017148    8086623     0.124481        814
WC_EBBA  bucket  NW   513282    593240        15   5953110   8014971    8543167    6359030    8542788     0.556132      70928
WC_EBBA  bucket  NW   513282    593240        30   5953110   8014971    9071363    6059130    9070925     1.032964      97191
