alg       queue  map  start_id  goal_id  constraint  min_cost1  min_cost2  budget  sol_cost1  sol_cost2  runtime(s)  search_malloc(KB)
WC_EBBA  bucket  NY   118216    154705        15    790262   1039493    1093610     857583    1093186     0.047492       1840
WC_EBBA  bucket  NY   118216    154705        30    790262   1039493    1147727     810764    1147346     0.053931       1150
WC_EBBA  bucket  NY   118216    154705        45    790262   1039493    1201844     803475    1199823     0.064612       1918
WC_EBBA  bucket  NY   118216    154705        60    790262   1039493    1255961     801480    1253266     0.053718       1786
WC_EBBA  bucket  NY   118216    154705        75    790262   1039493    1310078     797314    1309669     0.049741       1786
WC_EBBA  bucket  NY   118216    154705        90    790262   1039493    1364195     793521    1363988     0.035690        838
WC_EBBA  bucket  NY   223529    231949        15    698727    979106    1041382     752294    1041025     0.036783       1561
WC_EBBA  bucket  NY   223529    231949        30    698727    979106    1103659     725617    1102719     0.049041       1408
WC_EBBA  bucket  NY   223529    231949        45    698727    979106    1165936     719134    1152759     0.044878       1130
WC_EBBA  bucket  NY   223529    231949        60    698727    979106    1228213     717535    1181581     0.044081       1130
WC_EBBA  bucket  NY   223529    231949        75    698727    979106    1290490     710112    1290136     0.045827       1085
WC_EBBA  bucket  NY   223529    231949        90    698727    979106    1352767     700692    1350221     0.040149        855
WC_EBBA  bucket  NY    27084    122679        15    307887    449094     484777     343617     482718     0.005918       1371
WC_EBBA  bucket  NY    27084    122679        30    307887    449094     520460     333531     519163     0.010316       1325
WC_EBBA  bucket  NY    27084    122679        45    307887    449094     556143     321086     554681     0.010781       1331
WC_EBBA  bucket  NY    27084    122679        60    307887    449094     591826     314199     586642     0.009570       1329
WC_EBBA  bucket  NY    27084    122679        75    307887    449094     627510     308889     623379     0.007381        965
WC_EBBA  bucket  NY    27084    122679        90    307887    449094     663193     307934     638122     0.005192        768
WC_EBBA  bucket  NY   137839    144564        15    213655    327949     345122     238684     343565     0.003621        971
WC_EBBA  bucket  NY   137839    144564        30    213655    327949     362296     220671     361300     0.004717        840
WC_EBBA  bucket  NY   137839    144564        45    213655    327949     379469     219728     369747     0.005944        863
WC_EBBA  bucket  NY   137839    144564        60    213655    327949     396643     219504     395147     0.005611        859
WC_EBBA  bucket  NY   137839    144564        75    213655    327949     413817     213921     411175     0.005611        772
WC_EBBA  bucket  NY   137839    144564        90    213655    327949     430990     213704     428270     0.005152        771
WC_EBBA  bucket  NY   112388     89862        15    682955    807899     886996     698691     878173     0.024401       1145
WC_EBBA  bucket  NY   112388     89862        30    682955    807899     966094     690411     965837     0.030457       1064
WC_EBBA  bucket  NY   112388     89862        45    682955    807899    1045192     683697    1043558     0.017449        779
WC_EBBA  bucket  NY   112388     89862        60    682955    807899    1124289     683664    1052838     0.018034        779
WC_EBBA  bucket  NY   112388     89862        75    682955    807899    1203387     683664    1052838     0.017913        779
WC_EBBA  bucket  NY   112388     89862        90    682955    807899    1282485     683664    1052838     0.018095        779
WC_EBBA  bucket  NY    23782    223879        15    359432    507889     555445     402597     555009     0.009964       1401
WC_EBBA  bucket  NY    23782    223879        30    359432    507889     603001     366987     598728     0.012679        837
WC_EBBA  bucket  NY    23782    223879        45    359432    507889     650558     360703     650501     0.009611        788
WC_EBBA  bucket  NY    23782    223879        60    359432    507889     698114     360033     653146     0.009173        777
WC_EBBA  bucket  NY    23782    223879        75    359432    507889     745671     360033     653146     0.009204        777
WC_EBBA  bucket  NY    23782    223879        90    359432    507889     793227     360033     653146     0.009217        777
WC_EBBA  bucket  NY   110010    125761        15    330979    481389     531282     376981     527416     0.007119       1164
WC_EBBA  bucket  NY   110010    125761        30    330979    481389     581176     375730     566805     0.009602          0
WC_EBBA  bucket  NY   110010    125761        45    330979    481389     631070     375730     566805     0.010831       1507
WC_EBBA  bucket  NY   110010    125761        60    330979    481389     680964     375586     677373     0.011832       1507
WC_EBBA  bucket  NY   110010    125761        75    330979    481389     730857     372951     728574     0.011355       1437
WC_EBBA  bucket  NY   110010    125761        90    330979    481389     780751     345297     780593     0.007093       1023
WC_EBBA  bucket  NY   250720    154155        15    407017    568490     600015     457788     596052     0.010620       1324
WC_EBBA  bucket  NY   250720    154155        30    407017    568490     631541     427141     629792     0.014210       1345
